"root","git","branch","head","last_write"
"C:\Users\funny\Documents\AgentBridge-worktrees\gasper-current-001","True","isolation/gasper-current-2026-07-31","edc63a2fc8b872291127141ef9c57026d38fa62c","2026-07-31T17:13:17.7644712-04:00"
"C:\Users\funny\Documents\AgentBridge-worktrees\gasper-proof-repair-20260801","False","","","2026-08-02T18:11:59.5991996-04:00"
"C:\Users\funny\Documents\AgentBridge-worktrees\gasper-recon-living-face-20260801","False","","","2026-08-02T18:02:29.1816632-04:00"
"C:\Users\funny\Documents\AgentBridge-worktrees\gasper-recon-projection-cleanup-20260801","False","","","2026-08-02T18:02:34.3533936-04:00"
"C:\Users\funny\Documents\AgentBridge-worktrees\gasper-recon-proof-typecheck-20260801","False","","","2026-08-02T18:02:38.0582209-04:00"
"C:\Users\funny\Documents\AgentBridge-worktrees\gasper-vec501-turbo-20260801","True","integration/gasper-vec501-compositor-turbo-2026-08-01","d772054c4dd9f430a5a76eda756ba8b4ebeb30b4","2026-08-01T02:22:10.4092070-04:00"
"C:\Users\funny\Documents\AgentBridge-worktrees\gasper-vec601-602-turbo-20260801","False","","","2026-08-02T18:02:43.2162144-04:00"
"C:\Users\funny\Documents\AgentBridge-worktrees\gasper-vec701-turbo-20260801","False","","","2026-08-02T18:02:47.4782375-04:00"
"C:\Users\funny\Documents\AgentBridge-worktrees\gasper-vec801-802-controller-cleanup-20260801","False","","","2026-08-02T18:02:55.6059915-04:00"
"C:\Users\funny\Documents\AgentBridge-worktrees\gasper-vec801-802-turbo-20260801","True","integration/gasper-vec801-802-controller-decomposition-turbo-2026-08-01","e0a9a63810acafa8a8fba9648fed771e35fa2de6","2026-08-01T12:35:26.4348622-04:00"
"C:\Users\funny\Documents\AgentBridge-worktrees\gasper-vec901-903-proof-prep-20260801","True","integration/gasper-vec901-903-proof-prep-turbo-2026-08-01","e0a9a63810acafa8a8fba9648fed771e35fa2de6","2026-08-01T13:11:36.6963534-04:00"
"C:\Users\funny\Documents\AgentBridge-worktrees\gasper-vec903-validation-truth-20260801","False","","","2026-08-02T18:03:00.6921826-04:00"
"C:\Users\funny\Documents\AgentBridge-worktrees\gasper-vision-completion-2026-07-31","True","integration/gasper-vector-organism-completion-turbo-2026-08-01","c1725270f6c5dba06296c16aefbb31f819c82e0c","2026-08-01T14:26:35.6547122-04:00"
"C:\Users\funny\Documents\Codex\2026-07-26\referenced-chatgpt-conversation-this-is-untrusted-2\work\gasper-rejected-proof-captures","False","","","2026-07-26T20:47:28.2545139-04:00"
"C:\Users\funny\Documents\Codex\2026-08-01\gasper-luna-material-port-audit-20260801","False","","","2026-08-01T17:38:10.1844080-04:00"
"C:\Users\funny\Documents\Codex\2026-08-01\gasper-luna-proof-audit-20260801","False","","","2026-08-01T17:38:05.0661889-04:00"
"C:\Users\funny\Documents\Codex\2026-08-01\gasper-luna-visual-audit-20260801","False","","","2026-08-01T17:38:08.1374792-04:00"
"C:\Users\funny\Documents\Codex\2026-08-03\f\outputs\gasper-unified-field-readout-packet","False","","","2026-08-03T03:21:48.9228641-04:00"
"C:\Users\funny\Documents\Gasper","False","","","2026-07-30T21:18:25.3816889-04:00"
"C:\Users\funny\Documents\Gasper-Baseline-Fallback-2026-07-22","False","","","2026-07-23T01:22:16.7067350-04:00"
"C:\Users\funny\Documents\gasper-reconciliation-recovery-2026-07-25","False","","","2026-07-25T16:00:00.4968292-04:00"
"C:\Users\funny\Documents\GasperResearch","True","main","5a60cba26d5413be3f6a110e9fabed6d1dab69f1","2026-08-04T08:36:22.2580099-04:00"
"C:\Users\funny\Documents\GasperStudio","True","split-test/capability","23cd6050a1b43f1967ef7fc20d43182bbca1acfb","2026-08-05T17:37:20.9527363-04:00"
"C:\Users\funny\Documents\GasperStudio-migration-stage","False","","","2026-08-02T19:02:18.7911399-04:00"
"C:\Users\funny\Documents\GasperStudio-proof-stage","False","","","2026-08-02T18:41:12.3670976-04:00"
"C:\Users\funny\Documents\GasperStudioRelease","False","","","2026-08-01T20:25:58.9463014-04:00"
"C:\Users\funny\Documents\RECOVERY-VAULT-GasperStudio-pre-reconcile-2026-07-26","True","main","436aa89aeeb7b488305ad38d2ac1402fe56194dd","2026-07-26T01:47:41.3575334-04:00"
